,Permit..,Issued.Date,Applied,Approved,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
52,BLDG23-2098,08/18/2023,5/5/2023 ,8/14/2023,COMMERCIAL,TENANT FINISH,12195 MARIPOSA ST,TF for Goldstar Learning Optio...,QUINLAN CONSTRUCTION INC,EPRS:230505013154897
92,BLDG23-3845,08/16/2023,8/14/2023, 8/16/2023,COMMERCIAL,SEWER REPAIR,7125 NEWTON ST,25' sewer repair (via pipeburs...,Elite Rooter,ECON:230814011520585
54,BLDG23-2161,08/14/2023,5/8/2023 ,5/31/2023,COMMERCIAL,TENANT FINISH,5850 CENTRAL AVE,Aspire marketplace shaft revis...,HIVE CONSTRUCTION INC,ECON:230508055251970
90,BLDG23-3786,08/10/2023,8/9/2023 ,8/10/2023,COMMERCIAL,SEWER REPAIR,6885 W 91ST CT BLDG 26,Sewer line repair in private p...,MASTER ROOTER PLUMBING LLC,ECON:230809084809312
64,BLDG23-2362,08/07/2023,5/18/2023, 8/7/2023,COMMERCIAL,TENANT FINISH,5820 CENTRAL AVE,TF for MADabolic Fitness,TURN KEY GENERAL CONTRACTORS I...,ECON:230518030651103
87,BLDG23-3710,08/07/2023,8/4/2023 ,8/7/2023,COMMERCIAL,WATER REPAIR,6885 W 91ST CT BLDG 26,Replace curbstop in private pr...,MASTER ROOTER PLUMBING LLC,ECON:230804123027427
60,BLDG23-2269,08/01/2023,5/12/2023, 5/22/2023,COMMERCIAL,BUILDING,9153 YARROW ST #1521,Covenant Village remodel inter...,JD EISENACH CONST INC,ECON:230512030833155
62,BLDG23-2331,08/01/2023,5/17/2023, 7/31/2023,COMMERCIAL,TENANT FINISH,9440 SHERIDAN BLVD,TF for Petco,MAXWELL BUILDERS INC,ECON:230517021502104
80,BLDG23-3230,07/27/2023,7/11/2023, 7/12/2023,COMMERCIAL,TENANT FINISH,14644 ORCHARD PKWY #1200,move a couple of walls,"BASEMENTS AND DECKS R US, LLC",EPRS:230711105202911
43,BLDG23-1778,07/20/2023,4/19/2023, 7/20/2023,COMMERCIAL,TENANT FINISH,10633 WESTMINSTER BLVD,TF for the Stillery restaurant,SAMPLEY CONSTRUCTION LLC,ECON:230419102242105
