,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
2709,BLDG22-2725,,4/27/2022,,COMMERCIAL,TENANT FINISH,10385 WESTMOOR DR #125,TF for Genopsys of a lab space...,HOWELL CONSTRUCTION,ECON:220427031929430
2740,BLDG22-2756,,4/28/2022,,COMMERCIAL,TENANT FINISH,1885 W 120TH AVE #1300,Install ADA compliant restroom...,CREATIVE CONSTRUCTION ENTERPRI...,ECON:220428124140058
2824,BLDG22-2843,05/03/2022,5/3/2022,5/3/2022,COMMERCIAL,TENANT FINISH,11059 DOVER ST #1700,TF for gym at 1700,Marcy Forbes,MSCA:220503080232599
2873,BLDG22-2892,,5/4/2022,,COMMERCIAL,TENANT FINISH,14697 DELAWARE ST BLDG B,Turn lane closure,Eric Leet,EPRS:220504104641761
2899,BLDG22-2918,,5/4/2022,,COMMERCIAL,TENANT FINISH,8787 TURNPIKE DR #100,TF for Denver Springs,,ECON:220504073035304
3055,BLDG22-3073,08/01/2022,5/11/2022,8/1/2022,COMMERCIAL,TENANT FINISH,7655 W 88TH AVE,Thane's Table Tenant Finish CO...,ABHISHEKA BHARGAVA,ECON:220511020654743
3080,BLDG22-3098,06/13/2023,5/11/2022,8/11/2022,COMMERCIAL,TENANT FINISH,8805 EATON ST,TF for BONCHON Korean restaura...,FULL CIRCLE CONSTRUCTION PARTN...,EPRS:220511032826658
3085,BLDG22-3103,,5/11/2022,,COMMERCIAL,TENANT FINISH,7010 LOWELL BLVD,TF for Gerber Collision,,ECON:220511053722319
3156,BLDG22-3174,05/16/2022,5/16/2022,5/16/2022,COMMERCIAL,TENANT FINISH,,track it experiment,,NCAR:220516071442351
3158,BLDG22-3176,06/01/2022,5/16/2022,5/31/2022,COMMERCIAL,TENANT FINISH,12213 PECOS ST #300,TF for Grace in Balance create...,NORTH FOREST OFFICE SPACE-DENV...,ECON:220516081747720
3189,BLDG22-3207,03/07/2022,5/17/2022,3/2/2022,COMMERCIAL,TENANT FINISH,11059 DOVER ST 1300,TF for Rep Fitness,Marcy Forbes,MSCA:220517082633548
3198,BLDG22-3216,07/20/2022,5/17/2022,7/6/2022,COMMERCIAL,TENANT FINISH,905 W 124TH AVE #150,TF for Young Dentistry,"BVB GENERAL CONTRACTORS, LLC",ECON:220517114755800
3230,BLDG22-3248,,5/18/2022,,COMMERCIAL,TENANT FINISH,3053 W 104TH AVE,Interior renovation of the exi...,JACO GENERAL CONTRACTOR,ECON:220518120039636
3238,BLDG22-3256,,5/18/2022,,COMMERCIAL,TENANT FINISH,9975 WADSWORTH PKWY N2,Patio and Dumpster Pad,Christopher Odde,EPRS:220518022531589
