Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2022-116700 PR,Residential ,0,Repair,1,0,None,0
2022-116779 PR,Residential ,0,Repair,1,0,None,0
2022-116817 PR,Residential ,0,Repair,1,0,None,0
2022-116886 PR,Residential ,63,Addition and Remodel,9,3,Residential Zoning Review,2
2022-116888 PR,Commericial ,5,Demolition,2,1,Historic Refund,3
2022-116907 PR,Residential ,139,New,8,2,Residential Zoning Review,3
2022-116918 PR,Residential ,90,New,7,3,Residential Zoning Review,2
2022-117018 PR,Residential ,0,Repair,1,0,None,0
2022-117048 PR,Residential ,0,Repair,1,0,None,0
2022-117088 PR,Residential ,0,Repair,1,0,None,0
2022-117096 PR,Residential ,0,Repair,1,0,None,0
2022-117103 PR,Residential ,0,Repair,1,0,None,0
2022-117118 PR,Residential ,0,Repair,1,0,None,0
2022-117135 PR,Residential ,16,Repair,2,0,Flood Plain Review,1
2022-117138 PR,Residential ,0,Repair,1,0,None,0
2022-117150 PR,Residential ,31,Addition and Remodel,6,0,Residential Zoning Review,1
2022-117152 PR,Residential ,38,Addition and Remodel,10,2,Residential Zoning Review,2
2022-117167 PR,Residential ,0,Repair,1,0,None,0
2022-117169 PR,Residential ,79,Addition and Remodel,5,1,Tech Master Review,2
2022-117316 PR,Residential ,0,Repair,1,0,None,0
2022-117324 PR,Commericial ,58,New,11,2,Building Plans - Electrical,3
2022-117328 PR,Residential ,112,New,9,3,Residential Zoning Review,4
2022-117540 PR,Commericial ,0,Remodel,2,0,Commercial Zoning Review,1
2022-117584 PR,Residential ,60,Addition and Remodel,8,3,Residential Zoning Review,2
2022-117676 PR,Residential ,71,Demolition,4,1,Historic Preservation,2
2022-117797 PR,Commericial ,2,Demolition,2,0,Historic Preservation,1
2022-118103 PR,Commericial ,63,Remodel,23,10,AW Industrial Waste,4
2022-118106 PR,Residential ,80,New,8,3,Residential Zoning Review,2
2022-118133 PR,Residential ,161,Addition and Remodel,9,4,Residential Zoning Review,2
2022-118193 PR,Residential ,112,Addition and Remodel,4,1,Tech Master Review,2
2022-118280 PR,Residential ,50,New,6,2,Residential Zoning Review,2
2022-118366 PR,Residential ,0,Repair,1,0,None,0
2022-118379 PR,Residential ,0,Repair,1,0,None,0
2022-118380 PR,Residential ,43,Addition and Remodel,5,2,Residential Zoning Review,2
2022-118402 PR,Residential ,0,Repair,1,0,None,0
2022-118430 PR,Commericial ,43,Remodel,21,9,Building Plans - Electrical,2
2022-118462 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-118482 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-118531 PR,Residential ,0,Repair,1,0,None,0
2022-118593 PR,Residential ,54,New,15,6,AE BSPA,3
2022-118604 PR,Commericial ,52,Remodel,13,4,Building Plans - Mechanical,3
2022-118748 PR,Residential ,121,New,17,7,Fire Review,3
2022-118830 PR,Residential ,37,Addition and Remodel,10,3,Residential Zoning Review,2
2022-118878 PR,Residential ,153,New,8,2,Tree Ordinance Review,4
2022-118901 PR,Residential ,0,Repair,1,0,None,0
2022-118999 PR,Residential ,12,Repair,2,0,Flood Plain Review,1
